orig_path,label,sha256
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug0.jpg,GOOD,067fa6aee666fa8cfdb10262ba8a9a278ac275049693e47880162abfd02959f2
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug1.jpg,GOOD,3788615287472595cfacff0e7c154e9aa95ffeb1d7dc500c36dddb988235c949
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug10.jpg,GOOD,e17f7a578ba2b5c09fb4582650e8461a3254d1ea1c44d0a1c58d8b008346e6db
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug11.jpg,GOOD,b0b562261a3a83aaa5636b0aa340960d9237059e90a25a00c2d1208dfd2d10f8
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug12.jpg,GOOD,5dda7a16a5fc82d46c937627aba9502851aaac91b1db1c9dba24b4366d125f82
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug13.jpg,GOOD,94d549500ecdff5de2bc3f9743fe6e616a7a52ba1d9f51ce7fcb9bca925fbcfe
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug14.jpg,GOOD,91ebc2f30845196e2b5dd1882a9776013b580691886730893447d313844c846b
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug15.jpg,GOOD,fdb17a81e4f7b3d2e67c76c69d67158f936eafb35dacc9f03e93e8ab2db88784
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug16.jpg,GOOD,0b7f4a6ab6601d725c8527565c243a62f85aed283dba21189d59ebe824715618
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug17.jpg,GOOD,594284f5b3700ec4f88a764987d8ab8e8e09ae0e63a43adfe8afb1db5ad283a0
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug18.jpg,GOOD,f7ea4df312588b6d30d8ebfb1a7c538b4b0552b7b01e6ad202026d04b6120db9
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug19.jpg,GOOD,080ff35fbb0522de8a5f200b16d6a4bdfed09d020b914d12d626efaab26e33c6
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug2.jpg,GOOD,558178d2bb04e9f73cc5e410ed2b3c3ed93425a2e07af98dad4f6206359f53d3
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug20.jpg,GOOD,155dbb7b92eb51fa9f2e43332ad09d988740c709adacd9ef771fd82dab4df75d
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug21.jpg,GOOD,025b1847d45beab764769804d6d43725c5b8ac0cc74adb42d70bc71dcdac7cc1
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug22.jpg,GOOD,ab1b48b659bd2c96f1c8ca7f7d3ef0b769c6699b9f6f4eae1e6896ea8ae9f109
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug23.jpg,GOOD,946fffc8930ed9e7ce889509c6199e9c085b49e8b506d4540dd6e72c85b0d9b2
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug24.jpg,GOOD,fd644f55e265353a0daa17486bdbc219c307b2c85e491f88442071b79ca8c4b6
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug25.jpg,GOOD,0e5e606ce96d683c344e5a45a035cd4b099da610d0ff3a1aa1e31a4d2fd3f6ca
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug26.jpg,GOOD,c161da0e6a177a0b7517a0a307225b1390232d86667de38914382f7beb1e99c4
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug27.jpg,GOOD,d6571ca2ed2a1790233a0f48c019d20c650cfd6728dafe2fafcc7968d9006970
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug28.jpg,GOOD,e76e82870d1737711902943975e725d9a481b6abcc370dca1bb74f10046bd1c8
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug29.jpg,GOOD,a5d8e0c61111fe850a13fcc513a1d1fdea9398ed3ff4f33dcd03cd6e76728f05
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug3.jpg,GOOD,bac2029fb6710f1014868702c4f00b7193cab61ac31ba4187a5f77ecf51afc3b
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug4.jpg,GOOD,74c9b5c7e32bce11257b6e33b3d41566d8ac5260a07ec53480903eb05d33e5af
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug5.jpg,GOOD,b3849c674a2ac6fa754ef2304758a811ba711942c2c6cbf0928a7821a493c991
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug6.jpg,GOOD,0baf0a8dd87eeb2e12dc23d2bed5ae59b9e4bd164f28dc698d85655bd2f87b49
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug7.jpg,GOOD,37e8fcf20fe1e1b651573cf1996a44538b190b39720a6685bfce8a918c2d9999
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug8.jpg,GOOD,a5795d573594534468ca881febc446eae50ab05fc18a723d6ce120ed0a5a1ced
clean_data\augmented\GOOD\IMG-20250215-WA0040 (1) (1) (1) (1)_aug9.jpg,GOOD,234650c868a840b89c504630d934dc9e3110d35d48a44547c64d339920e8df14
clean_data\augmented\GOOD\IMG-20250215-WA0041 (1) (1) (1)-XMyFGq_aug0.jpg,GOOD,055275e7bbe80ddd1154c478697139b5b30b4def7d1326037a0911d7e29eb2fb
clean_data\augmented\GOOD\IMG-20250215-WA0041 (1) (1) (1)-XMyFGq_aug1.jpg,GOOD,be9c7559e197b4800460611c30870a2d30b9bed9c02cd346583a278a90e9ad99
clean_data\augmented\GOOD\IMG-20250215-WA0041 (1) (1) (1)-XMyFGq_aug10.jpg,GOOD,af587a8b8c78acd4fbdffe2af692d93cc8dd7eec06290f3639b531b0764963cc
clean_data\augmented\GOOD\IMG-20250215-WA0041 (1) (1) (1)-XMyFGq_aug11.jpg,GOOD,229953613b11ee458b7c3ceb4c8e8726129a2f4687d261d37d6fb412a03d3ed6
clean_data\augmented\GOOD\IMG-20250215-WA0041 (1) (1) (1)-XMyFGq_aug12.jpg,GOOD,c677c0ce1fe8a16b63bd1a7ec36a40aa29b18a41b692d4a704ad992a748ca543
clean_data\augmented\GOOD\IMG-20250215-WA0041 (1) (1) (1)-XMyFGq_aug13.jpg,GOOD,57fb3fae5d9c267afc8c41c3407e5bf84cce33155518f4c73e1b1f2b7b3126d1
clean_data\augmented\GOOD\IMG-20250215-WA0041 (1) (1) (1)-XMyFGq_aug14.jpg,GOOD,e0744e31bc6ec48e93e5442539a984df79962e704a8fc95e2152b1433cfc02c0
clean_data\augmented\GOOD\IMG-20250215-WA0041 (1) (1) (1)-XMyFGq_aug15.jpg,GOOD,ec93875c3d2fa61a1f3c2d28751857b5b31526e5bd7a775cd952b4ff0643d488
